2026-09-23T11:45:43Z 01-launch.png :: p10d-out/screenshots/01-launch.png: 720x1600 mean=102.9 dark=0.015 content=0.910 screen=yes
2026-09-23T15:14:17Z 01-launch.png :: p10d-out/screenshots/01-launch.png: 720x1600 mean=44.3 dark=0.000 content=0.218 screen=yes
2026-09-23T15:14:38Z 02-welcome.png :: p10d-out/screenshots/02-welcome.png: 720x1600 mean=41.6 dark=0.000 content=0.202 screen=yes
2026-09-23T15:15:09Z 03-after-welcome.png :: p10d-out/screenshots/03-after-welcome.png: 720x1600 mean=41.9 dark=0.000 content=0.205 screen=yes
2026-09-23T15:20:24Z 04-timeout-workspace-or-projects.png :: p10d-out/screenshots/04-timeout-workspace-or-projects.png: 720x1600 mean=41.9 dark=0.000 content=0.205 screen=yes
2026-09-23T15:20:37Z 05-v4-files.png :: p10d-out/screenshots/05-v4-files.png: 720x1600 mean=42.4 dark=0.000 content=0.218 screen=yes
2026-09-23T15:21:04Z 06-v4-settings.png :: p10d-out/screenshots/06-v4-settings.png: 720x1600 mean=40.0 dark=0.000 content=0.196 screen=yes
2026-09-24T08:38:31Z 01-launch.png :: p10d-out/screenshots/01-launch.png: 720x1600 mean=44.2 dark=0.000 content=0.218 screen=yes
2026-09-24T08:38:51Z 02-welcome.png :: p10d-out/screenshots/02-welcome.png: 720x1600 mean=41.8 dark=0.000 content=0.203 screen=yes
2026-09-24T08:39:19Z 03-after-welcome.png :: p10d-out/screenshots/03-after-welcome.png: 720x1600 mean=42.1 dark=0.000 content=0.206 screen=yes
2026-09-24T08:40:06Z 04-files-listing.png :: p10d-out/screenshots/04-files-listing.png: 720x1600 mean=42.7 dark=0.000 content=0.220 screen=yes
2026-09-24T08:40:32Z 05-v4-files.png :: p10d-out/screenshots/05-v4-files.png: 720x1600 mean=42.7 dark=0.000 content=0.220 screen=yes
2026-09-24T08:40:57Z 06-v4-settings.png :: p10d-out/screenshots/06-v4-settings.png: 720x1600 mean=39.9 dark=0.000 content=0.196 screen=yes
2026-09-24T08:44:06Z 07-prompt-typed.png :: p10d-out/screenshots/07-prompt-typed.png: 720x1600 mean=36.0 dark=0.000 content=0.160 screen=yes
2026-09-24T08:44:17Z 08-turn-answer.png :: p10d-out/screenshots/08-turn-answer.png: 720x1600 mean=60.9 dark=0.000 content=0.445 screen=yes
2026-09-24T08:45:52Z 01-launch.png :: p10d-out/screenshots/01-launch.png: 720x1600 mean=44.3 dark=0.000 content=0.218 screen=yes
2026-09-24T08:46:10Z 02-welcome.png :: p10d-out/screenshots/02-welcome.png: 720x1600 mean=41.9 dark=0.000 content=0.203 screen=yes
2026-09-24T08:46:36Z 03-after-welcome.png :: p10d-out/screenshots/03-after-welcome.png: 720x1600 mean=41.9 dark=0.000 content=0.203 screen=yes
2026-09-24T08:47:22Z 04-files-listing.png :: p10d-out/screenshots/04-files-listing.png: 720x1600 mean=42.8 dark=0.000 content=0.220 screen=yes
2026-09-24T08:47:48Z 05-v4-files.png :: p10d-out/screenshots/05-v4-files.png: 720x1600 mean=42.8 dark=0.000 content=0.220 screen=yes
2026-09-24T08:48:13Z 06-v4-settings.png :: p10d-out/screenshots/06-v4-settings.png: 720x1600 mean=40.0 dark=0.000 content=0.196 screen=yes
2026-09-24T08:51:24Z 07-prompt-typed.png :: p10d-out/screenshots/07-prompt-typed.png: 720x1600 mean=36.0 dark=0.000 content=0.160 screen=yes
2026-09-24T08:51:34Z 08-turn-answer.png :: p10d-out/screenshots/08-turn-answer.png: 720x1600 mean=36.8 dark=0.000 content=0.166 screen=yes
2026-09-24T08:52:10Z 09-tool-card-expanded.png :: p10d-out/screenshots/09-tool-card-expanded.png: 720x1600 mean=49.4 dark=0.000 content=0.392 screen=yes
